yy;cluster;sintesi;modello
2014-06-01;1;100.41656184196472;gpcc
2014-06-01;4;12.32721741044003;gpcc
2014-06-01;7;175.84425010681153;gpcc
2014-06-01;10;78.26458283265431;gpcc
2014-06-01;13;18.43703697345875;gpcc
2014-07-01;1;177.5962495803833;gpcc
2014-07-01;4;15.21591303223825;gpcc
2014-07-01;7;210.67524948120118;gpcc
2014-07-01;10;85.19291655222575;gpcc
2014-07-01;13;9.281851925231793;gpcc
2014-08-01;1;205.55859303474426;gpcc
2014-08-01;4;15.848087002660916;gpcc
2014-08-01;7;228.8025001525879;gpcc
2014-08-01;10;104.30208271741867;gpcc
2014-08-01;13;23.645925830911708;gpcc
2014-09-01;1;127.8243750333786;gpcc
2014-09-01;4;20.575565107490707;gpcc
2014-09-01;7;198.92074909210206;gpcc
2014-09-01;10;101.54541654884815;gpcc
2014-09-01;13;16.04407395698406;gpcc
2014-10-01;1;75.5073436498642;gpcc
2014-10-01;4;62.66547808750816;gpcc
2014-10-01;7;146.59224948883056;gpcc
2014-10-01;10;128.22666682799658;gpcc
2014-10-01;13;47.25111095993607;gpcc
2014-11-01;1;14.486093639105093;gpcc
2014-11-01;4;38.94678253609201;gpcc
2014-11-01;7;47.60274971723557;gpcc
2014-11-01;10;84.95291678234935;gpcc
2014-11-01;13;107.41962927359121;gpcc
2014-12-01;1;4.945156291330932;gpcc
2014-12-01;4;6.584956495658211;gpcc
2014-12-01;7;16.829749931022526;gpcc
2014-12-01;10;38.66000027333697;gpcc
2014-12-01;13;68.0703705681695;gpcc
2015-01-01;1;2.6226562552910764;gpcc
2015-01-01;4;2.51486957202787;gpcc
2015-01-01;7;7.370500048808753;gpcc
2015-01-01;10;9.962499964322584;gpcc
2015-01-01;13;24.69444425735209;gpcc
2015-02-01;1;3.3270312367822044;gpcc
2015-02-01;4;3.8472174170224562;gpcc
2015-02-01;7;12.220999957621098;gpcc
2015-02-01;10;24.90145826091369;gpcc
2015-02-01;13;29.48777820445873;gpcc
2015-03-01;1;21.435156332561746;gpcc
2015-03-01;4;16.110086988107017;gpcc
2015-03-01;7;53.48000003099442;gpcc
2015-03-01;10;67.12083351612091;gpcc
2015-03-01;13;60.21370365001537;gpcc
2015-04-01;1;47.76984368264675;gpcc
2015-04-01;4;72.97878274502962;gpcc
2015-04-01;7;98.78874998092651;gpcc
2015-04-01;10;125.05166657765706;gpcc
2015-04-01;13;153.84777789645725;gpcc
2015-05-01;1;88.78624987602234;gpcc
2015-05-01;4;58.394434812794564;gpcc
2015-05-01;7;168.35400142669678;gpcc
2015-05-01;10;165.44854180018106;gpcc
2015-05-01;13;71.05000000529819;gpcc
2015-06-01;1;105.815624833107;gpcc
2015-06-01;4;14.296608657033547;gpcc
2015-06-01;7;175.60475063323975;gpcc
2015-06-01;10;77.4664580821991;gpcc
2015-06-01;13;16.933703630058854;gpcc
2015-07-01;1;150.21671891212463;gpcc
2015-07-01;4;13.35139126021253;gpcc
2015-07-01;7;196.32624912261963;gpcc
2015-07-01;10;73.38895825544994;gpcc
2015-07-01;13;15.436296268745705;gpcc
2015-08-01;1;188.34906256198883;gpcc
2015-08-01;4;10.857217367058215;gpcc
2015-08-01;7;211.1139995574951;gpcc
2015-08-01;10;80.83687504132588;gpcc
2015-08-01;13;8.46888890531328;gpcc
2015-09-01;1;124.71328121423721;gpcc
2015-09-01;4;21.829478254007256;gpcc
2015-09-01;7;189.24700050354005;gpcc
2015-09-01;10;90.15458342432976;gpcc
2015-09-01;13;4.466296266626428;gpcc
2015-10-01;1;70.5056253412331;gpcc
2015-10-01;4;56.50860860866049;gpcc
2015-10-01;7;131.79425015449524;gpcc
2015-10-01;10;126.19979186852773;gpcc
2015-10-01;13;48.624444325764976;gpcc
2015-11-01;1;19.384375026915222;gpcc
2015-11-01;4;37.44513041662133;gpcc
2015-11-01;7;63.9345002412796;gpcc
2015-11-01;10;137.02333295345306;gpcc
2015-11-01;13;154.26888953314887;gpcc
2015-12-01;1;7.221874975395622;gpcc
2015-12-01;4;10.270608592713657;gpcc
2015-12-01;7;33.16024985872209;gpcc
2015-12-01;10;62.120624811698995;gpcc
2015-12-01;13;100.61296261681451;gpcc
2016-01-01;1;8.33296878146939;gpcc
2016-01-01;4;4.235130432248115;gpcc
2016-01-01;7;11.58925010105595;gpcc
2016-01-01;10;28.794375165055197;gpcc
2016-01-01;13;72.27481430548208;gpcc
2016-02-01;1;7.450312488072086;gpcc
2016-02-01;4;5.536000023199164;gpcc
2016-02-01;7;18.40825005248189;gpcc
2016-02-01;10;26.193124713686604;gpcc
2016-02-01;13;40.24074044050994;gpcc
2016-03-01;1;22.352343845472205;gpcc
2016-03-01;4;14.808173909394638;gpcc
2016-03-01;7;53.251499474048615;gpcc
2016-03-01;10;59.69124971330166;gpcc
2016-03-01;13;48.76888920421953;gpcc
2016-04-01;1;52.25406231218949;gpcc
2016-04-01;4;90.76217382472494;gpcc
2016-04-01;7;98.32349941730499;gpcc
2016-04-01;10;163.30624993642172;gpcc
2016-04-01;13;157.0807411758988;gpcc
2016-05-01;1;92.9039058983326;gpcc
2016-05-01;4;46.83426062127818;gpcc
2016-05-01;7;201.88350028991698;gpcc
2016-05-01;10;118.5374991496404;gpcc
2016-05-01;13;27.704074011908638;gpcc
2016-06-01;1;109.97796875238419;gpcc
2016-06-01;4;14.159652134905691;gpcc
2016-06-01;7;177.01600093841552;gpcc
2016-06-01;10;66.64083377520244;gpcc
2016-06-01;13;18.629999933419406;gpcc
2016-07-01;1;186.91796946525574;gpcc
2016-07-01;4;13.2683477650518;gpcc
2016-07-01;7;213.63374919891356;gpcc
2016-07-01;10;66.48562506586313;gpcc
2016-07-01;13;4.649629595103087;gpcc
2016-08-01;1;183.82921862602234;gpcc
2016-08-01;4;11.954434725318267;gpcc
2016-08-01;7;230.17175083160402;gpcc
2016-08-01;10;83.72833315531413;gpcc
2016-08-01;13;8.387036970368138;gpcc
2016-09-01;1;120.41124922037125;gpcc
2016-09-01;4;14.769304392713568;gpcc
2016-09-01;7;189.71999912261964;gpcc
2016-09-01;10;82.98979189371069;gpcc
2016-09-01;13;8.021851852536201;gpcc
2016-10-01;1;66.3018751963973;gpcc
2016-10-01;4;30.10869554747706;gpcc
2016-10-01;7;128.21949996948243;gpcc
2016-10-01;10;85.56208362181981;gpcc
2016-10-01;13;9.410740741976985;gpcc
2016-11-01;1;14.443124942947179;gpcc
2016-11-01;4;28.844000119748323;gpcc
2016-11-01;7;38.10874977111816;gpcc
2016-11-01;10;69.47062550485134;gpcc
2016-11-01;13;93.78777708830657;gpcc
2016-12-01;1;3.4787500205275137;gpcc
2016-12-01;4;10.469130485861198;gpcc
2016-12-01;7;10.559749930724502;gpcc
2016-12-01;10;23.061041727351647;gpcc
2016-12-01;13;40.574814703729416;gpcc
2017-01-01;1;2.567656258092029;gpcc
2017-01-01;4;3.4054782564225405;gpcc
2017-01-01;7;6.931500020623207;gpcc
2017-01-01;10;21.87041670763089;gpcc
2017-01-01;13;26.452592814410174;gpcc
2017-02-01;1;15.756874982442241;gpcc
2017-02-01;4;6.551391315460205;gpcc
2017-02-01;7;32.0180000603199;gpcc
2017-02-01;10;51.281666619082294;gpcc
2017-02-01;13;35.83703669795283;gpcc
2017-03-01;1;26.271250173449516;gpcc
2017-03-01;4;23.729130330293074;gpcc
2017-03-01;7;62.97500014305115;gpcc
2017-03-01;10;80.39291660984357;gpcc
2017-03-01;13;40.05222236668622;gpcc
2017-04-01;1;41.011562183499336;gpcc
2017-04-01;4;71.68973905521891;gpcc
2017-04-01;7;99.84950003623962;gpcc
2017-04-01;10;97.7620837489764;gpcc
2017-04-01;13;107.33814789189233;gpcc
2017-05-01;1;106.94453126192093;gpcc
2017-05-01;4;51.50904328304788;gpcc
2017-05-01;7;177.41624946594237;gpcc
2017-05-01;10;159.7243753274282;gpcc
2017-05-01;13;94.41036907390311;gpcc
2017-06-01;1;104.75921846926212;gpcc
2017-06-01;4;12.546173946624217;gpcc
2017-06-01;7;167.36300106048583;gpcc
2017-06-01;10;69.74125061432521;gpcc
2017-06-01;13;11.930000057926884;gpcc
2017-07-01;1;173.50812470912933;gpcc
2017-07-01;4;16.28982596722958;gpcc
2017-07-01;7;217.47875003814698;gpcc
2017-07-01;10;74.30541665355365;gpcc
2017-07-01;13;16.288518631899798;gpcc
2017-08-01;1;197.08343744277954;gpcc
2017-08-01;4;13.58495657009923;gpcc
2017-08-01;7;235.11399879455567;gpcc
2017-08-01;10;108.27625054121017;gpcc
2017-08-01;13;20.412962882607072;gpcc
2017-09-01;1;150.53421837091446;gpcc
2017-09-01;4;25.41382598462312;gpcc
2017-09-01;7;220.04425086975098;gpcc
2017-09-01;10;133.29458261529604;gpcc
2017-09-01;13;19.881851964526707;gpcc
2017-10-01;1;66.65859371051192;gpcc
2017-10-01;4;48.94704334761786;gpcc
2017-10-01;7;128.2472502708435;gpcc
2017-10-01;10;106.3472915738821;gpcc
2017-10-01;13;42.448888959708036;gpcc
2017-11-01;1;13.345781262498349;gpcc
2017-11-01;4;47.89730435350667;gpcc
2017-11-01;7;37.680000466108325;gpcc
2017-11-01;10;91.08833322674036;gpcc
2017-11-01;13;143.36074094419126;gpcc
2017-12-01;1;4.841562524641631;gpcc
2017-12-01;4;5.40617391395828;gpcc
2017-12-01;7;15.844999990984798;gpcc
2017-12-01;10;26.655416671186686;gpcc
2017-12-01;13;43.13629601178346;gpcc
2018-01-01;1;5.23124997864943;gpcc
2018-01-01;4;2.8908695779416873;gpcc
2018-01-01;7;12.150249879527838;gpcc
